Method 1: RAG-Fusion,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,Are there any dedicated spaces for engineering students?,Facilities,0.558205238577127,0.5917888754522596,0.4997823938968247,0.0257467966181338,8,0.2289274444004867,,32,215,2,TRUE,TRUE,1,0.055350553505535,16.51,No
,How can students book or reserve these spaces for their academic or extracurricular activities?,Facilities,0.5305731787150085,0.5434907302599257,0.4978437274558752,0.0156341881257014,8,0.2757057619323937,,74,659,12,TRUE,TRUE,1,0.1003861003861003,17.36,No
,How can I apply for a residential hall at the PolyU?,Facilities,0.6902945001462539,0.7202435819283787,0.6569117865134376,0.0209395051835571,8,0.2277893535705952,,286,1982,34,FALSE,TRUE,0,0.2748815165876777,28.93,Yes
,What are the eligibility criteria for applying for it?,Facilities,0.4901726178402641,0.555353110936211,0.3699537671118341,0.0751191908147816,8,0.2927606924583574,,184,1368,19,TRUE,FALSE,1,0.1714285714285714,16.55,Yes
,Are there any important deadlines or documents required for that application?,Facilities,0.5902073559305409,0.5997443554148494,0.5847040484314476,0.0043017194173313,8,0.1345217596610322,,256,1758,27,TRUE,TRUE,1,0.192090395480226,23.33,Yes
,What sports facilities are available for students on the PolyU campus?,Facilities,0.6624742297985549,0.6877720407617982,0.583397723269475,0.0313577532916047,8,0.2572619364421157,,157,1246,19,FALSE,FALSE,0,0.1985815602836879,20.57,Yes
,"How do I sign up for sports skill training courses at the university, then? Is there any fitness class available at the university?",Facilities,0.6023905283783267,0.6868553156361776,0.5484796306450251,0.0425158692179834,8,0.2565075155711703,,193,1396,16,FALSE,FALSE,0,0.2583892617449664,29.48,Yes
,What are the elective subjects that focus on deep learning or machine learning in the AIIE programme?,Programme,0.5962035778797553,0.7100019827285403,0.5137549044904552,0.0759949915727126,8,0.3106650446926313,,159,1240,10,TRUE,FALSE,1,0.2064516129032258,16.78,Yes
,Will you recommend that I take these elective subjects?,Programme,0.6049246511485845,0.6341433943725894,0.5894072105526228,0.0143953902481001,8,0.1715726344261756,,69,452,4,TRUE,TRUE,1,0.0514705882352941,11.12,No
,Are there any recommended sequences for taking these courses?,Programme,0.5413744466490544,0.5757728664021722,0.4634129455735306,0.0431627836665831,8,0.2154643720825698,,104,718,7,FALSE,TRUE,0,0.1117318435754189,14.67,No
,"What technical elective subjects are available to IAIE students, including those specializing in optics or cybersecurity?",Programme,0.6353338774165309,0.6651289300548768,0.6143662975314341,0.0194795674247526,8,0.1384137602824399,,282,2110,4,TRUE,TRUE,1,0.4869565217391304,22.71,Yes
,How can choosing certain electives influence my career options after graduation?,Programme,0.533137045450645,0.5665076605007164,0.4852804320408,0.028395159596983,8,0.1624272822986797,,429,3300,19,FALSE,FALSE,0,0.2377850162866449,40.56,Yes
,What advice would you give me when choosing these elective subjects?,Programme,0.5893465179968704,0.6075956718725515,0.5782513702684944,0.0091415689541261,8,0.1872235387070727,,205,1465,17,FALSE,TRUE,0,0.1986301369863013,17.16,Yes
,Does the IAIE programme include any FYP?,Programme,0.5823810355066305,0.6272882346578437,0.5365211544095848,0.0300254732350822,8,0.1933256951510534,,101,736,4,FALSE,FALSE,0,0.1545893719806763,13.92,Yes
,"How are these projects typically structured, and what kind of support do students receive?",Programme,0.6218218022521382,0.6437793080287689,0.5332103884210626,0.0337844071214625,8,0.1841607977698,,353,2635,23,TRUE,FALSE,1,0.3828828828828828,23.38,Yes
,"Can students propose their own project topics, possibly in collaboration with industry partners?",Programme,0.6049678508802463,0.6221294573872741,0.5858416257513157,0.0128802785847496,8,0.1726319815688138,,115,842,5,TRUE,FALSE,1,0.1167883211678832,16.73,Yes
,What should I do if I failed a subject in the EE programme?,Academic,0.7000081728907929,0.7184113359485852,0.6850356785591226,0.0115189022914672,8,0.1849176738379386,,184,1216,19,TRUE,TRUE,1,0.4744525547445255,18.17,Yes
,What resources are available if I need help with academic planning or overcoming academic difficulties?,Academic,0.633005290523605,0.6688850296507151,0.5133252474265457,0.0474971057165521,8,0.2638789640897938,,178,1581,21,FALSE,FALSE,0,0.1680497925311203,18.65,Yes
,How often should I meet with you to discuss my study progress?,Academic,0.6091233901476836,0.6300654888873932,0.584005939872039,0.0152252585879407,8,0.1577923597286982,,63,404,4,TRUE,FALSE,1,0.0983606557377049,14,Yes
,What are the policies on subject retakes for the IAIE programme?,Academic,0.6399268232632407,0.6685823536639522,0.6283195672132218,0.0117935741632178,8,0.155676075566031,,314,2254,27,FALSE,TRUE,0,0.66,24.82,Yes
,How can I seek support if I am placed on academic probation?,Academic,0.5985921493205499,0.6115266569586567,0.583822149766701,0.0087168489671727,8,0.127339673405144,,75,676,9,TRUE,FALSE,1,0.1919191919191919,13.6,Yes
,What should I do then to improve their academic performance so that I won’t be deregistered?,Academic,0.6446853887333439,0.6589247544930416,0.6288782010253811,0.0112935951905742,8,0.0892780758560907,,236,1807,24,TRUE,FALSE,1,0.25,21.1,Yes
,How does credit transfer or exemption work at PolyU?,Academic,0.714951727629618,0.7333043413998791,0.6856053733729217,0.0127928867034095,8,0.1180625362431957,,221,1738,24,TRUE,FALSE,1,0.4381443298969072,21.83,Yes
,What documentation is required to apply for credit transfer in the department?,Academic,0.6081267948292843,0.6272279634402929,0.5850554436811289,0.0125932899299232,8,0.1113769414996204,,70,467,3,TRUE,FALSE,1,0.1343283582089552,16.67,Yes
,"How long does the credit transfer evaluation process typically take, and whom can students contact for updates?",Academic,0.6713198835188263,0.6769361199399797,0.6572288164959249,0.0059066124468886,8,0.1206514109970878,,47,378,7,FALSE,FALSE,0,0.1197604790419161,14.57,Yes
,Does the PolyU offer any internships or industrial opportunities?,Internship,0.6705157420217331,0.6931122532079917,0.6506702103369768,0.0163358770267746,8,0.2158071688138018,,229,1631,25,TRUE,FALSE,1,0.2518703241895262,24.65,Yes
,"How are internship placements arranged? Is it arranged by the university, or do I find them manually?",Internship,0.5849586881463922,0.6101713858379728,0.5648383006570374,0.0140600298154342,8,0.2394306001980479,,161,1440,21,FALSE,FALSE,0,0.1881188118811881,26.32,Yes
,Do these internship opportunities count towards WIE credits?,Internship,0.5857669283174258,0.6595138216832727,0.5582131849530285,0.0295565212692068,8,0.2215582245628053,,107,846,8,TRUE,TRUE,1,0.1732522796352583,18.15,Yes
,What types of companies or organizations in Hong Kong typically offer internships for IAIE graduates?,Internship,0.5814978407911633,0.6081849388874572,0.5596155433509673,0.0154293790453204,8,0.2395000819527789,,102,660,5,FALSE,TRUE,0,0.0987654320987654,12.03,Yes
,Are there any partnerships between the university and local industries to facilitate internship placements?,Internship,0.5733377646302301,0.593424393069271,0.5441295501876854,0.0178813635431461,8,0.2116166874199387,,112,814,5,FALSE,FALSE,0,0.1614035087719298,12.73,Yes
,How can I prepare for my interview to increase my chances of securing such competitive internships?,Internship,0.5346988048903356,0.5545375585709705,0.495458937001229,0.0203976930238693,8,0.3339914627308932,,253,1907,30,FALSE,FALSE,0,0.1276102088167053,22.89,Yes
,"What support does the PolyU provide during the internship period, such as progress monitoring?",Internship,0.6517847395293226,0.6708512839515418,0.6265290702645799,0.0154838069683507,8,0.2563292958084451,,256,2014,27,FALSE,FALSE,0,0.2152917505030181,26.23,Yes
,How are internships assessed or credited towards the programme requirements?,Internship,0.6519375229285287,0.6764004367102007,0.6104825832413175,0.0202301542889044,8,0.170005302732157,,159,1186,13,TRUE,TRUE,1,0.1544943820224719,18.63,Yes
,Can students share their internship experiences or network with alumni who have completed similar internships?,Internship,0.5638661414841187,0.6078307209731095,0.5256982798687038,0.0218901704506726,8,0.3164959402781179,,144,1214,21,FALSE,FALSE,0,0.1661341853035143,18.37,Yes
,,,,,,,,,,,,,,,,,,
